TimeGenerated,OperationName,Category,Result,ResultReason,ResultDescription,ActivityDisplayName,ActivityDateTime,AADOperationType,Identity,InitiatedBy,TargetResources,LoggedByService,Type
2026-04-28T15:43:46Z,Reset user password,UserManagement,success,,,Reset user password,2026-04-28T15:43:46Z,Reset,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:45:14Z,Delete user,UserManagement,success,,,Delete user,2026-04-28T15:45:14Z,Delete,kpatel@corp.example,"{""user"":{""userPrincipalName"":""kpatel@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:45:44Z,Update group,GroupManagement,success,,,Update group,2026-04-28T15:45:44Z,Update,mwhite@corp.example,"{""user"":{""userPrincipalName"":""mwhite@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:46:39Z,Update group,GroupManagement,success,,,Update group,2026-04-28T15:46:39Z,Update,rmorales@corp.example,"{""user"":{""userPrincipalName"":""rmorales@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:46:51Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T15:46:51Z,Add,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""lwoods"",""userPrincipalName"":""lwoods@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:48:11Z,Reset user password,UserManagement,success,,,Reset user password,2026-04-28T15:48:11Z,Reset,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:49:36Z,Add app role assignment to user,RoleManagement,success,,,Add app role assignment to user,2026-04-28T15:49:36Z,Add,kpatel@corp.example,"{""user"":{""userPrincipalName"":""kpatel@corp.example""}}","[{""displayName"":""jharris"",""userPrincipalName"":""jharris@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:50:28Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T15:50:28Z,Sign-in,olopez@corp.example,"{""user"":{""userPrincipalName"":""olopez@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:53:32Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T15:53:32Z,Sign-in,mwhite@corp.example,"{""user"":{""userPrincipalName"":""mwhite@corp.example""}}","[{""displayName"":""tnguyen"",""userPrincipalName"":""tnguyen@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:11:52Z,Reset user password,UserManagement,success,,,Reset user password,2026-04-28T16:11:52Z,Reset,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:14:00Z,Update group,GroupManagement,success,,,Update group,2026-04-28T16:14:00Z,Update,agarcia@corp.example,"{""user"":{""userPrincipalName"":""agarcia@corp.example""}}","[{""displayName"":""jharris"",""userPrincipalName"":""jharris@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:16:36Z,Reset user password,UserManagement,success,,,Reset user password,2026-04-28T16:16:36Z,Reset,sthompson@corp.example,"{""user"":{""userPrincipalName"":""sthompson@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:17:23Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T16:17:23Z,Add,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:23:10Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T16:23:10Z,Reset,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:24:39Z,Add user,UserManagement,failure,,,Add user,2026-04-28T16:24:39Z,Add,mwhite@corp.example,"{""user"":{""userPrincipalName"":""mwhite@corp.example""}}","[{""displayName"":""ehernandez"",""userPrincipalName"":""ehernandez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:25:26Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T16:25:26Z,Reset,bsato@corp.example,"{""user"":{""userPrincipalName"":""bsato@corp.example""}}","[{""displayName"":""tnguyen"",""userPrincipalName"":""tnguyen@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:28:27Z,Update user,UserManagement,success,,,Update user,2026-04-28T16:28:27Z,Update,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:30:16Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T16:30:16Z,Add,kpatel@corp.example,"{""user"":{""userPrincipalName"":""kpatel@corp.example""}}","[{""displayName"":""lwoods"",""userPrincipalName"":""lwoods@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:31:15Z,Update application,ApplicationManagement,success,,,Update application,2026-04-28T16:31:15Z,Update,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:32:16Z,Add user,UserManagement,failure,,,Add user,2026-04-28T16:32:16Z,Add,sthompson@corp.example,"{""user"":{""userPrincipalName"":""sthompson@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:35:56Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T16:35:56Z,Sign-in,olopez@corp.example,"{""user"":{""userPrincipalName"":""olopez@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:36:07Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T16:36:07Z,Reset,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:40:00Z,Add member to group,GroupManagement,success,,,Add member to group,2026-04-28T16:40:00Z,Add,kpatel@corp.example,"{""user"":{""userPrincipalName"":""kpatel@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:43:26Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T16:43:26Z,Add,bsato@corp.example,"{""user"":{""userPrincipalName"":""bsato@corp.example""}}","[{""displayName"":""kpatel"",""userPrincipalName"":""kpatel@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:46:24Z,Add member to role,RoleManagement,success,,,Add member to role,2026-04-28T16:46:24Z,Add,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:46:48Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T16:46:48Z,Sign-in,olopez@corp.example,"{""user"":{""userPrincipalName"":""olopez@corp.example""}}","[{""displayName"":""ehernandez"",""userPrincipalName"":""ehernandez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:48:38Z,Add member to group,GroupManagement,success,,,Add member to group,2026-04-28T16:48:38Z,Add,bsato@corp.example,"{""user"":{""userPrincipalName"":""bsato@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:50:39Z,Add member to role,RoleManagement,success,,,Add member to role,2026-04-28T16:50:39Z,Add,sthompson@corp.example,"{""user"":{""userPrincipalName"":""sthompson@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:57:27Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T16:57:27Z,Sign-in,bsato@corp.example,"{""user"":{""userPrincipalName"":""bsato@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T16:59:20Z,Reset user password,UserManagement,success,,,Reset user password,2026-04-28T16:59:20Z,Reset,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""ehernandez"",""userPrincipalName"":""ehernandez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:05:28Z,Update user,UserManagement,success,,,Update user,2026-04-28T17:05:28Z,Update,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:05:40Z,Remove member from group,GroupManagement,success,,,Remove member from group,2026-04-28T17:05:40Z,Remove,kpatel@corp.example,"{""user"":{""userPrincipalName"":""kpatel@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:05:57Z,Update user,UserManagement,success,,,Update user,2026-04-28T17:05:57Z,Update,olopez@corp.example,"{""user"":{""userPrincipalName"":""olopez@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:10:05Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T17:10:05Z,Reset,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""ehernandez"",""userPrincipalName"":""ehernandez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:19:27Z,Remove member from group,GroupManagement,success,,,Remove member from group,2026-04-28T17:19:27Z,Remove,lwoods@corp.example,"{""user"":{""userPrincipalName"":""lwoods@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:19:31Z,Update user,UserManagement,success,,,Update user,2026-04-28T17:19:31Z,Update,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""lwoods"",""userPrincipalName"":""lwoods@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:24:21Z,Add member to group,GroupManagement,success,,,Add member to group,2026-04-28T17:24:21Z,Add,olopez@corp.example,"{""user"":{""userPrincipalName"":""olopez@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:25:37Z,Add user,UserManagement,success,,,Add user,2026-04-28T17:25:37Z,Add,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""agarcia"",""userPrincipalName"":""agarcia@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:26:34Z,Update application,ApplicationManagement,success,,,Update application,2026-04-28T17:26:34Z,Update,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""tnguyen"",""userPrincipalName"":""tnguyen@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:27:23Z,Add user,UserManagement,failure,,,Add user,2026-04-28T17:27:23Z,Add,kpatel@corp.example,"{""user"":{""userPrincipalName"":""kpatel@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:29:54Z,Add app role assignment to user,RoleManagement,success,,,Add app role assignment to user,2026-04-28T17:29:54Z,Add,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:30:05Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T17:30:05Z,Add,agarcia@corp.example,"{""user"":{""userPrincipalName"":""agarcia@corp.example""}}","[{""displayName"":""kpatel"",""userPrincipalName"":""kpatel@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:30:27Z,Add user,UserManagement,failure,,,Add user,2026-04-28T17:30:27Z,Add,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""lwoods"",""userPrincipalName"":""lwoods@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:32:20Z,Reset user password,UserManagement,success,,,Reset user password,2026-04-28T17:32:20Z,Reset,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:33:12Z,Add app role assignment to user,RoleManagement,success,,,Add app role assignment to user,2026-04-28T17:33:12Z,Add,sthompson@corp.example,"{""user"":{""userPrincipalName"":""sthompson@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:34:24Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T17:34:24Z,Add,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:35:22Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T17:35:22Z,Add,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:36:29Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T17:36:29Z,Sign-in,mwhite@corp.example,"{""user"":{""userPrincipalName"":""mwhite@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:36:31Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T17:36:31Z,Reset,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:38:38Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T17:38:38Z,Sign-in,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:39:04Z,Delete user,UserManagement,success,,,Delete user,2026-04-28T17:39:04Z,Delete,rmorales@corp.example,"{""user"":{""userPrincipalName"":""rmorales@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:39:38Z,Add member to role,RoleManagement,success,,,Add member to role,2026-04-28T17:39:38Z,Add,sthompson@corp.example,"{""user"":{""userPrincipalName"":""sthompson@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:42:22Z,Remove member from group,GroupManagement,success,,,Remove member from group,2026-04-28T17:42:22Z,Remove,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""kpatel"",""userPrincipalName"":""kpatel@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:42:34Z,Update application,ApplicationManagement,success,,,Update application,2026-04-28T17:42:34Z,Update,rmorales@corp.example,"{""user"":{""userPrincipalName"":""rmorales@corp.example""}}","[{""displayName"":""jharris"",""userPrincipalName"":""jharris@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:45:25Z,Add member to role,RoleManagement,success,,,Add member to role,2026-04-28T17:45:25Z,Add,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:46:34Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T17:46:34Z,Reset,lwoods@corp.example,"{""user"":{""userPrincipalName"":""lwoods@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:55:12Z,Delete user,UserManagement,success,,,Delete user,2026-04-28T17:55:12Z,Delete,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""kpatel"",""userPrincipalName"":""kpatel@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T17:57:04Z,Add user,UserManagement,failure,,,Add user,2026-04-28T17:57:04Z,Add,mwhite@corp.example,"{""user"":{""userPrincipalName"":""mwhite@corp.example""}}","[{""displayName"":""agarcia"",""userPrincipalName"":""agarcia@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T18:01:11Z,Add member to role,RoleManagement,success,,,Add member to role,2026-04-28T18:01:11Z,Add,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""lwoods"",""userPrincipalName"":""lwoods@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T18:01:59Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T18:01:59Z,Add,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T18:04:23Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T18:04:23Z,Reset,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
